firstname,lastname,organization,photo
Kristoffer,Borgen,Purdue University,assets/research_group/KristofferBorgen_PurdueUniversity.JPG
Luigi,Raphael Iboleon Dy,Purdue University,assets/research_group/LuigiDy_PurdueUniversity.jpg
Ping,Hu,Boston University,assets/research_group/PingHu_BostonUniversity.png
Xiao,Hu,Purdue University,assets/research_group/XiaoHu_PurdueUniversity.jpg
Vishal,Purohit,Purdue University,assets/research_group/VishalPurohit_PurdueUniversity.png
Qilei,Zhang,Purdue University,assets/research_group/QileiZhang_PurdueUniversity.jpg
Bhargav,Jayanth,Purdue University,assets/research_group/BhargavJayanth_PurdueUniversity.png
